avg_wait_min,p95_wait_min,avg_service_min,avg_total_min,avg_queue_len,utilization_pct,throughput_per_hour,arrivals,completions,tellers,lam_per_hr,mu_per_hr,hours,seed,rep
21.3711,47.0298,5.9345,27.1786,3.3229,90.09,9.125,75,73,1,10,12,8,1000,1
20.4873,52.8528,5.2005,25.6102,3.7215,88.69,10.125,88,81,1,10,12,8,1001,2
6.0929,19.795,4.7444,10.7729,0.9299,69.43,8.75,73,70,1,10,12,8,1002,3
11.9272,31.5076,4.5702,16.2717,2.4009,75.34,9.875,88,79,1,10,12,8,1003,4
22.557,75.6664,5.8205,27.7038,3.6253,72.74,7.375,76,59,1,10,12,8,1004,5
