avg_wait_min,p95_wait_min,avg_service_min,avg_total_min,avg_queue_len,utilization_pct,throughput_per_hour,arrivals,completions,tellers,lam_per_hr,mu_per_hr,hours,seed,rep
0.0951,0.6397,5.6569,5.752,0.0147,29.07,9.25,74,74,3,10,12,8,1000,1
0.0019,0.0,4.458,4.4599,0.0003,22.6,9.125,73,73,3,10,12,8,1001,2
0.2768,3.1478,4.6891,4.9299,0.0415,23.39,8.875,72,71,3,10,12,8,1002,3
0.2372,1.6557,4.6789,4.8011,0.043,27.93,10.75,87,86,3,10,12,8,1003,4
0.0105,0.0584,5.3627,5.3732,0.0015,26.44,8.875,71,71,3,10,12,8,1004,5
