avg_wait_min,p95_wait_min,avg_service_min,avg_total_min,avg_queue_len,utilization_pct,throughput_per_hour,arrivals,completions,tellers,lam_per_hr,mu_per_hr,hours,seed,rep
0.0168,0.0,5.8456,5.8624,0.0026,22.83,9.375,75,75,4,10,12,8,1000,1
0.0,0.0,4.458,4.458,0.0,16.95,9.125,73,73,4,10,12,8,1001,2
0.0883,0.6964,4.8425,4.9618,0.014,19.09,9.375,76,75,4,10,12,8,1002,3
0.0006,0.0,4.7149,4.7379,0.0001,21.5,10.875,88,87,4,10,12,8,1003,4
0.0,0.0,5.3627,5.3627,0.0,19.83,8.875,71,71,4,10,12,8,1004,5
